*7650
0000+49   BD 49 4329  
V1610 CYG   2058+36
V1624 CYG   2005+36
V162OMECEN  1320-46I
V1644 CYG   2010+36
V164OMECEN  1320-46J
V1654 CYG   2018+40B
V1658 SGR   1819-23
V1661 CYG   2045+45
V1666 CYG   2122+34
V1668 CYG   2138+43B
V1675 CYG   1958+42
V1677 SGR   1825-22
V1679 CYG   2010+36B
V1683 SGR   1827-20C
V1702 SGR   1833-20
V1707 SGR   1836-20
V1710 SGR   1837-21B
V1711 CYG   2051+44
V1742 CYG   1922+27B
V1743 CYG   1931+49
V1746 CYG   1956+36B
V1749 CYG   2017+35
V1760 CYG   2138+31A
V1783 SGR   1758-32
V17OMECEN   1320-46D
V1804 CYG   2103+36B
V1805 CYG   2103+35
V1819 CYG   1950+35
V1822 CYG   2007+49
V1824 CYG   2010+47
V1825 CYG   2013+49
V1830 SGR   1807-27
V1837 CYG   2041+37
V1860 SGR   1815-24
V1869 SGR   1817-33B
V1872 SGR   1818-30
V1874 SGR   1819-33
V1883 SGR   1821-34
V1884 SGR   1822-33
V1905 SGR   1827-25
V1907 SGR   1827-20B
V1927 SGR   1836-22
V1930 SGR   1837-21
V1939 SGR   1841-22
V1942 SGR   1913-16
V1943 SGR   2000-27
V1944 SGR   1753-27B        N SGR 1960
V1946 CYG   1917+49         NSV 11927
V1950 SGR   1756-23
V1951 SGR   1757-23
V1953 SGR   1807-27B
V1966 CYG   1930+30B
V1974 CYG   2027+52         N CYG 1992
V1978 SGR   1817-27
V1984 SGR   1820-21
V1988 SGR   1821-27B
V1990 CYG   1939+34B
V1991 CYG   1940+32
V1992 CYG   1942+31
V1994 SGR   1823-27
V1995 CYG   1945+29
V1OMECEN    1320-46B
V2 CAR      1050-58         POSSIBLE CV SUSPECTED BY MOREL AS CONFUSED W/WX CAR
V2002 SGR   1826-22
V2003 SGR   1827-19
V2012 CYG   2013+31
V2015 CYG   2030+46B
V2023 SGR   1834-23B
V2037 CYG   2034+48
V2045 OPH   1646-06
V2048 OPH   1755+04
V2051 OPH   1702-25
V2070 SGR   1849-19
V2076 OPH   1736-17
V2104 OPH   1758+11
V2105 OPH   1622-07
V2108 OPH   1709+09
V2109 OPH   1718-24B
V2110 OPH   1737-22
V2111 OPH   1640-02
V2113 OPH   1714+02
V2114 CYG   2014+33
V2114 OPH   1723+08
V2125 CYG   2030+34
V2139 SGR   1915-18
V2176 CYG   1924+54         USNO 1425.09823278
V2204 OPH   1821+11
V2209 CYG   2140+44
V2213 OPH   1700+00
V2214 OPH   1705-29
V2244 OPH   1746-01
V2264 OPH   1714-26
V2274 CYG   2003+35         N CYG 01-1 (2001)
V2275 CYG   2059+48         N CYG 01-2 (2001)
V2276 SGR   2019-44
V2293 SGR   1808-27
V2295 OPH   1719-23
V2303 OPH   1833+11         TAV1836+11
V2313 OPH   1729-19
V2314 OPH   1739+06
V2323 SGR   1809-27
V2335 OPH   1759+04
V2348 OPH   1556-05
V2349 OPH   1601-03
V2350 OPH   1617-06
V2350 SMC   0126-73         R47, HEN S63, CPD-73 82
V2356 OPH   1647+11
V2356 SMC   0128-73         SK 188
V2359 OPH   1654+11
V2362 OPH   1658+04
V2363 OPH   1700+02
V2364 OPH   1700+03
V2364 SMC   0142-75         R50, CPD-79 116
V2366 OPH   1704+00
V2380 OPH   1730+11
V2392 OPH   1811+02
V2400 OPH   1706-24
V2408 SGR   1907-33
V2434 LMC   0525-71
V2435 SGR   1752-29B
V2487 OPH   1726-19         N OPH 98
V2502 OPH   1812+00
V2506 SGR   1804-28
V2523 OPH   1702-17         HEN 1341
V2527 OPH   1716-19         E1719.1-19
V2540 OPH   1731-16         N OPH 02 (2002)
V2572 SGR   1825-32
V2626 LMC   0527-68         HD 36521
V2724 LMC   0527-66
V2756 SGR   1808-29B
V2838 SGR   1809-35
V2905 SGR   1811-28
V29OMECEN   1320-46E
V2OMECEN    1320-46C
V3198 LMC   0532-67         HD 269729
V335 CRA    1803-38
V335 GEM    0656+21
V335 SGE    2009+16F
V335 VUL    1919+24
V336 AQL    1856+00
V336 CEN    1406-56
V336 HER    1603+19
V336 PER    0316+41
V336 VUL    1930+23
V337 AUR    0453+31
V337 CAR    1006-61B
V337 CYG    1956+38
V337 GEM    0657+13
V337 HER    1746+45
V337 ORI    0553+20
V338 AQL    1900+17A
V338 ARA    1740-52B
V338 CAS    0007+48
V338 CYG    1956+38B
V339 SGE    1933+16
V340 CEN    1415-63
V340 PEG    2256+32
V340 PUP    0744-23C
V340 SGE    1934+16B
V341 AND    0002+34
V341 CAR    0753-58
V341 CEN    1418-63
V341 LAC    2209+53
V341 NOR    1606-53
V341 SGE    1938+17B        HIP 96984
V342 AQL    1912+09
V342 AUR    0535+37
V342 CEN    1102-55
V342 NOR    1532-51
V342 SGE    1940+18
V343 AQL    1933+12C
V343 CEP    2114+55
V343 CRA    1804-38
V343 GEM    0723+22
V3434 LMC   0535-66         A 0538-66
V344 CEP    2114+55B
V344 LYR    1841+43
V344 ORI    0609+15
V344 PAV    1907-62
V344 SGE    2003+16
V344 SGR    1909-31
V345 AND    0007+43
V345 AQL    1948+02
V345 CEP    2121+56
V345 NOR    1559-51B
V345 ORI    0610-01
V345 PEG    2305+33
V345 SGR    1913-33
V346 GEM    0735+17
V346 ORI    0519+01B
V346 PEG    2308+08         HIP 114608
V3462 SGR   1823-32
V347 GEM    0738+14
V347 LAC    2216+40
V347 PAV    1831-74
V347 PEG    2309+09         HIP 114698
V347 PUP    0608-48
V348 CYG    2050+43
V348 SGR    1834-23
V349 SGR    1836-22B
V350 ORI    0535-09
V350 SGR    1839-20
V351 AQL    1907+01B
V351 CEP    2229+56B
V351 ORI    0539+00
V351 PUP    0807-34
V352 HER    1739+30
V352 NOR    1559-51
V352 ORI    0556-02
V353 AND    0025+39
V353 CAS    2319+55
V353 GEM    0747+13         TASV J0752+133; Q1995/015
V353 SGR    1906-19
V354 AQL    1910+00
V354 NOR    1531-48
V355 AQL    1912+00
V355 PEG    2330+22
V355 SGR    1818-16
V356 AQL    1912+01
V356 ORI    0530-05
V356 PER    0210+56         NSV 770;CSV 5971
V3566 LMC   0537-69B        HD 37974
V358 AQL    1916-00
V358 CAS    2325+57
V358 CYG    2104+45
V358 LYR    1856+42
V358 ORI    0530-05
V359 CEN    1153-41
V359 ORI    0530-05
V359 SGR    1858-12
V360 AND    0058+38
V360 CYG    2106+30
V360 GEM    0736+15
V360 HER    1712+24
V360 ORI    0530-05
V360 PEG    2343+29
V3604 LMC   0537-69A        HD 269858
V361 HER    1618+19
V361 ORI    0530-05
V361 PER    0216+56A
V362 CEP    2313+85
V362 GEM    0747+14
V362 ORI    0530-05
V362 PUP    0707-41
V363 AUR    0526+36       x DESIG CHGD FROM 0523+36 8/29/96
V363 CYG    2117+31
V363 LAC    2240+48
V363 LYR    1905+42
V364 PEG    2107+12
V3645 SGR   1830-18
V365 CAS    0054+56B
V366 AQL    1921+02
V366 LAC    2214+43
V367 AND    0145+37
V367 CYG    2044+38
V367 VUL    2011+25
V368 AND    0145+38
V368 AQL    1921+07
V368 CAR    1008-58
V368 CEN    1207-49
V368 CYG    1933+28
V368 PEG    2253+10         VAR63 PEG
V368 PER    0241+34
V368 SCT    1840-08
V369 CEN    1209-54
V369 CYG    1939+54
V369 LYR    1908+32
V369 ORI    0533-04B
V369 PEG    2258+16B        NSV 26006
V369 PER    0245+37
V369 PUP    0723-18
V370 AND    0153+44
V370 AQL    1922+02
V370 CEN    1212-45
V371 CAS    2329+53B
V371 ORI    0528+01
V372 CAS    2329+53A
V372 CEN    1215-44
V372 ORI    0530-05
V372 PER    0250+36
V373 CAS    2350+56
V373 CEN    1220-45
V373 SCT    1850-07
V374 AQL    1925-01
V374 PER    0310+41
V376 SCT    1818-12
V376 VUL    1911+25
V377 CAS    0013+59
V377 MON    0644-01
V377 ORI    0530-05
V3774 SGR   1835-33
V378 ORI    0530-05
V378 PEG    2335+29         PG2337+300
V379 CAS    0021+60
V379 PEG    2348+22         NSV 26158; FBS 2351+228
V3790 SGR   1927-16
V3795 SGR   1807-25
V380 CEP    2100+67         NSV 13489
V380 CYG    1947+40
V380 OPH    1745+06
V380 ORI    0531-06L
V380 SCO    1649-30
V3804 LMC   0539-69         HD 38268
V3804 SGR   1815-31
V381 LAC    2211+41
V381 OPH    1746+06
V381 PUP    0734-11
V382 CAS    0030+57B
V382 SCO    1745-35B
V382 VEL    1040-51
V383 VEL    1017-49         NSV 4834
V384 CAR    0916-68
V384 CRA    1844-38
V384 PER    0319+47
V384 SCO    1755-35
V385 AND    2319+41
V385 CAR    1102-64
V386 CEP    2249+60
V386 CYG    2110+41
V387 CRA    1810-42
V3872 SGR   1956-27
V3876 SGR   1827-20A
V3879 SGR   1837-19
V3885 SGR   1940-42
V3888 SGR   1742-18
V3889 SGR   1752-28
V389 CYG    2104+29
V389 OPH    1752+05
V389 VUL    1915+22
V3890 SGR   1824-24
V3892 SGR   1738-27
V390 CAS    0122+61
V390 CYG    1929+48
V3903 SGR   1803-24
V391 AQL    1933+06
V391 CAS    0148+69
V391 CYG    1938+48
V391 LYR    1817+38
V391 SCT    1822-15
V3914 SGR   1808-30
V392 AUR    0608+28
V392 CYG    1950+56
V392 HYA    1054-28         EC 10565-2858
V392 PER    0435+47
V3928 SGR   1821-27C
V393 AUR    0559+43
V393 CAS    0154+70
V393 HER    1717+27
V393 LAC    2158+41B        HIP 108776
V394 CRA    1753-39
V394 CYG    2002+48
V394 SGR    1853-30
V3941 SGR   1819-29
V395 CYG    2005+43
V395 OPH    1754+04
V395 VUL    1946+22         12 VUL
V3954 SGR   1905-15
V3955 SGR   1914-31
V396 CEN    1311-61
V396 SCO    1743-35
V398 CEN    1313-60B
V398 LYR    1904+39
V400 AQL    1936+01B
V400 PER    0300+46
V4006 SGR   1801-27B
V4017 SGR   1811-29
V4018 SGR   1819-28
V4019 SGR   1819-25
V402 AND    0006+29         VAR62 AND
V402 CYG    2005+36B
V4021 SGR   1832-23
V4028 SGR   1815-25
V4029 SGR   1815-16
V403 PER    0216+56C
V4030 SGR   1815-16B
V404 CYG    2020+33
V4049 SGR   1827-20
V405 AUR    0549+53
V405 CYG    2018+40
V405 VUL    1948+20         RX J1953.1+2115 = S10943
V406 OPH    1810+10
V406 PUP    0753-49
V406 VUL    1854+22
V4065 SGR   1813-24
V407 CYG    2058+45
V407 LYR    1850+35
V407 SCO    1745-35
V4072 SGR   1755-32         CPD-32 5041
V4074 SGR   1809-30
V4077 SGR   1828-26
V409 PER    0303+45
V4092 SGR   1747-29
V410 CAS    0017+61
V410 CYG    2137+49
V410 PER    0306+47
V410 TAU    0412+28
V411 CAR    1027-59         NSV 4884
V412 CEN    1350-57
V412 CRA    1838-38B
V4135 SGR   1753-32
V414 AND    0004+37
V4140 SGR   1952-39
V415 LYR    1904+31
V4152 SGR   1852-29
V4157 SGR   1803-25
V416 AND    0104+44
V416 CRA    1803-41
V4160 SGR   1807-32
V4169 SGR   1817-28
V417 AND    0110+49
V417 CAS    0101+53
V417 CEN    1408-61
V417 CRA    1803-42
V417 CYG    1957+39C
V4171 SGR   1817-23
V418 AND    0124+49
V418 CAS    0106+61
V418 CEN    1413-63
V419 AQL    1933+00
V419 LYR    1906+29
V420 AND    0211+50         TAVJ0218+507
V420 AUR    0515+37         NSV 1947
V420 OPH    1759+07
V420 SCO    1747-34C
V420 VUL    2055+26         TAVJ2059+264
V421 ORI    0530-05
V421 TAU    0542+22
V421 VUL    2058+24
V422 ARA    1650-61
V422 CEN    1146-41
V422 CEP    2116+60         NSV 13656
V424 PER    0214+56
V425 AQL    1949+12
V425 CAS    2259+52
V425 CYG    2004+35
V425 PER    0224+57
V426 AND    2329+49         NSV 14625
V426 AQL    1951+06
V426 CAR    1044-58
V426 CRA    1808-42
V426 OPH    1803+05
V427 CRA    1810-43
V428 AUR    0524+38
V428 CEN    1218-48
V429 AQL    1954+15
V429 CYG    2007+35A
V430 CAR    1101-59
V430 CRA    1814-41
V430 CYG    2007+35B
V430 ORI    0501+00
V431 CAR    1105-60         CPD-60 2578
V431 CEP    2133+67         NSV 13807; SAO 19521; BD 67 1329
V431 ORI    0510+11
V432 CAR    1104-60
V432 CYG    2011+36
V4327 SGR   1806-29
V433 AQL    1956+15
V433 ARA    1651-57
V433 CAS    2320+60
V433 CEN    1105-35
V433 HER    1736+25
V433 LYR    1913+30
V4332 SGR   1844-21
V4334 SGR   1746-17         -- SGR
V4338 SGR   1752-29         SAKURAI * (N? SGR 90)
V434 CEN    1107-35
V436 CAR    0742-52
V436 CEN    1109-37
V436 CYG    2013+36
V4361 SGR   1817-18
V4362 SGR   1824-17
V4368 SGR   1848-19B        ?? SGR
V437 AUR    0540+54
V437 PER    0151+54
V4375 SGR   1741-27B
V438 OPH    1710+11
V439 AQL    2000+12
V439 PER    0216+56B
V440 OPH    1654+12
V440 PER    0216+54
V4400 SGR   1829-22
V4405 SGR   1840-19
V441 CYG    2023+36
V441 HER    1751+26
V441 PER    0218+56
V441 SGR    1815-25A
V4414 SGR   1914-17         HIP 95063
V4418 SGR   1923-16         HIP 95779
V442 AQL    2005+12
V442 CEN    1120-35
V442 OPH    1726-16
V4422 SGR   1940-16
V4423 SGR   1942-16
V443 AQL    2007+12
V443 HER    1818+23
V443 LYR    1825+33
V443 SCT    1844-06
V444 SCT    1841-08
V4444 SGR   1801-27
V445 PUP    0733-25         N? PUP 00
V446 CAS    0030+62
V446 CRA    1836-38
V446 CYG    2038+38
V446 HER    1852+13
V447 AQL    1943+07
V447 OPH    1707+08
V448 MON    0642+01B
V449 CYG    1949+33
V449 HER    1639+48
V449 LYR    1904+43G
V449 SCO    1730-32
V450 AQL    1928+05
V450 CYG    2054+35
V450 OPH    1815+12
V450 SCT    1827-14
V451 CAS    0046+59
V451 CEN    1236-34
V451 CEP    2228+58         TAV2230+58
V451 OPH    1824+10
V451 ORI    0525+10
V452 CAS    0046+53
V452 CYG    1959+40
V453 MON    0645-02B
V453 OPH    1721-02
V453 SCT    1836-07
V455 SCO    1700-33
V455 SCT    1841-08B
V456 CAS    0100+53
V456 SCT    1844-08D        BD-08 4723
V457 SCT    1845-07
V460 AQL    1949+07B
V460 CYG    2137+35
V461 SCO    1703-33
V462 CYG    1936+43
V463 HER    1707+16
V463 SCT    1828-14         N SCT 00
V4633 SGR   1815-27
V4641 SGR   1813-25B
V4642 SGR   1749-19         N SGR 2000
V4643 SGR   1748-26         N SGR 2001 NO.1
V465 CAS    0112+57
V465 CYG    1949+36B
V465 SCO    1705-33
V466 PER    0334+51
V467 CYG    1951+32B
V467 MON    0721-03
V468 CYG    1951+32
V470 MON    0734-00B
V470 SCO    1710-37
V471 PER    0152+52
V471 TAU    0344+16
V472 PER    0201+57
V473 CYG    2120+37
V473 LYR    1912+27
V473 SCO    1711-32
V4739 SGR   1818-30B        N SGR 2001 NO.2
V474 AQL    1842+10
V474 MON    0554-09
V474 PER    0215+55
V4740 SGR   1805-30         N SGR 2001 NO.3
V4741 SGR   1753-30B        N SGR 2002 NO.1
V4742 SGR   1756-25         N SGR 2002 NO.2
V4743 SGR   1855-22         N SGR 2002 NO.3
V4744 SGR   1741-23         N SGR 2002 NO.4
V4745 SGR   1833-33         N SGR 03
V475 PER    0219+57
V476 CYG    1955+53B
V478 AQL    1845+11
V478 HER    1717+23C
V478 LYR    1903+30
V478 SCO    1719-35
V479 CYG    2111+37
V480 CYG    1948+34
V480 TAU    0445+18
V482 CYG    1955+33
V482 SCO    1724-33
V483 TAU    0414+13
V485 CEN    1251-32
V485 CYG    1957+33
V487 AQL    1847+09
V487 CAS    0100+63
V491 LYR    1836+40
V492 CYG    2007+35C
V492 MON    0629+00
V493 AQL    1852-00
V493 AUR    0541+54         TAVJ0550+543
V493 CEN    1210-50
V493 LYR    1858+42
V494 AUR    0552+55         TAV0556+55
V494 LYR    1859+33
V497 CYG    2016+46
V498 AQL    1951+14
V498 LYR    1905+32
V498 OPH    1810+00
V499 ARA    1705-58
V500 AQL    1947+08
V500 CAR    1013-57         CPD-57 2913
V500 CEN    1403-39
V500 SCO    1742-30
V501 LYR    1911+36
V502 CAS    0244+58
V502 CEN    1406-39A
V502 LYR    1914+34
V502 OPH    1636+00
V503 CYG    2023+43
V503 HER    1732+23
V504 CEN    1406-39B
V504 LYR    1922+34
V505 CEN    1406-45
V505 MON    0640+02
V506 SGR    1812-25A
V507 CEN    1408-45
V507 SGR    1812-25B
V509 CAS    2255+56
V510 CEN    1410-40
V510 PUP    0758-23         TMZ V429
V511 SGR    1815-25B
V513 CAS    0012+65
V513 PER    0325+41
V516 CYG    2043+41
V516 MON    0645+01
V516 OPH    1707-28
V517 MON    0645+00
V517 OPH    1709-28
V518 PER    0415+32
V519 MON    0646+00A
V520 CEN    1422-38
V520 MON    0650-01
V522 MON    0651-02
V522 SGR    1841-25
V523 CYG    2058+34
V523 MON    0653-08
V526 MON    0656-00
V528 AQL    1914+00B
V528 MON    0657+02
V529 AQL    1914+00C
V529 HER    1804+42
V529 ORI    0554+20
V530 AQL    1915-01
V530 CEN    1426-40
V531 AQL    1918+06B
V532 CAS    2354+56A
V532 CEN    1430-40
V533 CAS    2354+56B
V533 HER    1811+41
V533 OPH    1747-02
V534 CAR    1112-61
V535 CAS    0014+51
V536 MON    0708-02
V536 ORI    0519+01C
V538 CAS    0111+61
V539 CYG    2135+44
V53OMECEN   1320-46F
V542 CYG    1947+58
V543 CRA    1811-41
V544 CYG    1951+56
V544 HER    1633+08
V548 HER    1639+08
V549 CYG    2000+56B
V550 CYG    2001+32
V550 LYR    1903+41
V550 PER    0208+57
V551 SGR    1754-34B
V553 AQL    1946+02
V553 CEN    1440-31
V553 PER    0215+56C
V555 CAS    0110+54
V556 PER    0226+55
V558 PER    0234+43         HIP 12544
V559 LYR    1824+31
V562 LYR    1828+46         LD 345
V563 CAS    2312+59
V563 PER    0240+51         HIP 13058
V564 OPH    1747+07
V564 PER    0244+35
V566 HER    1804+41
V566 ORI    0530-05
V568 CYG    2038+35
V569 CYG    2039+31
V569 OPH    1755+05
V571 PER    0305+37
V573 CYG    2105+47
V574 OPH    1801+03
V574 PER    0316+31
V576 CRA    1817-45A
V577 CYG    2106+46
V577 PER    0326+45         HIP 16563
V578 OPH    1820+11
V581 CRA    1817-45B
V586 ORI    0532-06D
V589 HER    1617+19B
V591 CEN    1236-33
V591 PER    0427+45         HIP 20993
V592 CAS    0015+55
V592 CYG    2114+45
V592 HER    1626+21
V593 TAU    0546+26A
V597 CAS    0152+59
V598 CAS    0154+61
V600 PER    0312+32         GSC 2345.01896
V601 SCO    1657-36
V602 OPH    1824+11
V603 AQL    1843+00
V604 AQL    1856-04
V605 AQL    1913+01
V605 CAS    0213+59         HD 14242
V606 AQL    1915-00
V611 HER    1639+20
V613 MON    0643+05
V614 MON    0656-03
V615 CAS    0232+60
V615 SGR    1800-36
V616 MON    0617-00
V617 SGR    1801-35
V618 SGR    1801-36
V623 CAS    0304+57
V627 CAS    2253+58
V630 ARA    1640-49
V630 CAS    2343+50
V630 CYG    2131+40
V630 ORI    0538+09
V630 SGR    1802-34
V631 ORI    0539+08
V632 CYG    2131+39
V632 HER    1815+24
V635 CAS    0112+63
V635 MON    0756-08
V636 HER    1644+42
V636 SCO    1715-45
V637 CYG    2134+47
V640 HER    1721+17
V640 MON    0632+06
V641 AQL    1933+09
V641 CAS    0004+63
V642 AQL    1933+11B
V642 CAS    0009+63
V642 HER    1729+14
V642 ORI    0554+09
V644 CEN    1138-60
V644 CRA    1838-37
V644 MON    0652-10
V645 CEN    1422-62
V648 CAS    0243+57
V648 MON    0622+05B
V648 OPH    1833+08C
V650 CEN    1202-43
V650 MON    0634+10
V650 ORI    0525+09
V651 MON    0704-00
V653 AQL    1935+09D
V653 ORI    0530-09
V653 SGR    1804-36A
V655 SGR    1804-36B
V656 HER    1715+18
V659 CYG    2143+45
V660 HER    1738+23
V663 ARA    1638-55
V663 CEN    1333-30
V664 CAS    0255+64B
V664 CEN    1336-30
V666 CAS    0154+57
V667 CAS    0311+70
V669 HER    1808+31B
V674 CYG    2147+49
V676 CAS    0223+62
V676 HER    1810+37
V686 CYG    1943+35
V686 MON    0720-02
V687 CYG    1922+29
V689 MON    0633+01
V693 CRA    1835-37
V694 MON    0721-07
V695 CYG    2010+46
V697 CYG    1946+52
V698 CYG    1956+36
V698 OPH    1619-04
V699 OPH    1620-04
V700 MON    0627+10
V701 TAU    0338+21
V703 SCO    1735-32
V705 CAS    2337+56
V707 SCO    1741-36B
V709 SCO    1744-34
V711 SCO    1747-34
V711 TAU    0331+00
V715 MON    0643+01B
V715 SCO    1750-33
V716 SCO    1751-34
V717 CYG    1957+30
V718 TAU    0425+17B
V719 MON    0615+02
V720 CAS    0039+52
V720 SCO    1745-35C
V721 MON    0618-09
V721 SCO    1735-34
V722 CAS    0053+60B
V722 MON    0623-00
V723 CAS    0059+53
V723 MON    0624-05
V723 SCO    1743-35B
V724 MON    0624-08
V724 TAU    0413+21
V725 AQL    1952+10
V725 SGR    1805-36
V725 TAU    0532+26
V727 CAS    0254+69
V727 MON    0625+10A
V727 SCO    1709-32
V728 SCO    1731-45
V729 MON    0629+05
V729 SCO    1715-31
V729 SGR    1910-26
V730 SGR    1916-28
V731 SCO    1726-32
V731 TAU    0537+23
V732 SGR    1749-27
V733 MON    0635-04
V733 SCO    1733-35
V734 SCO    1738-35
V735 SGR    1753-29
V736 MON    0635-06
V737 CEN    1429-61
V737 SGR    1800-28
V738 CYG    1953+39C
V739 MON    0642+00A
V739 SGR    1806-30
V741 MON    0645-04
V742 MON    0646+05D
V742 SGR    1832-36
V743 MON    0646-06
V744 CEN    1333-49         HD 118767; CD-49 8095
V744 CYG    2021+55
V744 HER    1747+48
V744 MON    0649+05A
V744 OPH    1714+08
V744 SCO    1746-31
V745 SCO    1748-33B
V746 MON    0651-03
V746 OPH    1715+07
V747 CYG    2034+49
V747 MON    0652-08F
V748 MON    0656-02
V749 MON    0658-02
V750 CYG    2046+50
V750 MON    0659-10
V750 OPH    1716+10
V751 CYG    2048+43
V751 MON    0702-03
V752 CAS    0031+48
V753 SGR    1742-23
V754 CAS    0036+53
V756 MON    0714-08
V757 MON    0716-05
V758 MON    0718-04
V759 CAS    0057+52
V759 MON    0718-04B
V759 OPH    1719+04A
V759 SGR    1744-27
V760 CEN    1405-58
V760 MON    0720-02B
V761 MON    0721-10
V762 MON    0725-00
V763 MON    0731-03
V764 CAS    0111+57
V764 MON    0732-07
V766 CEN    1340-62A
V766 MON    0736-08
V767 CEN    1347-46
V767 CYG    2014+52
V767 OPH    1725+02
V770 CAS    0133+60
V770 MON    0759-05
V771 MON    0803-00
V771 SGR    1747-24
V772 CEN    1137-62
V772 OPH    1727+06
V773 MON    0804-04
V774 CAS    0140+59
V774 HER    1829+22
V774 MON    0805-06
V778 CYG    2034+59
V779 CAS    0152+75
V779 CEN    1116-60
V781 SGR    1749-28
V781 TAU    0544+26
V786 CYG    2012+59
V787 CAS    0207+63
V787 SGR    1753-30
V792 CYG    1927+33
V793 CYG    1929+33
V794 AQL    2012-03
V794 OPH    1732-22
V794 SCO    1605-09
V795 CYG    1930+31
V795 HER    1709+33
V798 CEN    1427-60B
V800 AQL    1851+10
V801 CEN    1143-61
V803 CEN    1317-41
V806 CAS    2259+53
V807 AQL    1900+17B
V811 CYG    1944+36A
V818 HER    1715+43
V818 SCO    1614-15
V818 TAU    0411+16
V821 CEN    1408-45B        HD 124448
V822 AQL    1926-02
V822 CEN    1452-31
V823 ARA    1636-46
V823 CYG    1958+35
V823 SCO    1742-41
V824 ARA    1707-66
V824 CYG    1958+35B
V825 HER    1715+41
V826 CAS    0029+60         NSV 203
V827 HER    1839+15
V830 CEN    1141-62
V832 CAS    0140+60
V832 CYG    2056+47
V833 TAU    0430+26
